Age,Salary,Department,Experience,Satisfaction,Gender
56.0,31920.0,HR,22.0,1,Female
,,Marketing,15.0,1,Female
,,Engineering,5.0,4,Male
32.0,106872.0,HR,,5,Male
60.0,111132.0,HR,1.0,1,Female
25.0,,Engineering,12.0,1,Male
38.0,42905.0,HR,,2,Male
56.0,54351.0,Engineering,6.0,5,Female
36.0,60981.0,Engineering,,5,Female
40.0,,Engineering,19.0,1,Male
28.0,100821.0,Marketing,16.0,5,Female
28.0,139200.0,Engineering,19.0,2,Female
41.0,133241.0,Sales,,2,Female
,,HR,,2,Female
57.0,146506.0,Marketing,,4,Female
,,HR,27.0,1,Male
20.0,108513.0,Marketing,18.0,5,Male
39.0,49874.0,Sales,26.0,2,Female
19.0,80931.0,Marketing,13.0,1,Female
41.0,37674.0,Marketing,26.0,1,Female
61.0,80516.0,Marketing,,4,Male
47.0,124574.0,HR,3.0,5,Male
55.0,90686.0,Engineering,26.0,5,Male
,124851.0,HR,28.0,2,Male
38.0,99212.0,Engineering,23.0,2,Female
50.0,32426.0,HR,,1,Female
29.0,120009.0,Sales,23.0,5,Male
39.0,98498.0,Sales,25.0,5,Male
,59943.0,Marketing,27.0,2,Female
42.0,96395.0,Sales,,3,Female
66.0,74816.0,Marketing,12.0,1,Female
44.0,34138.0,Engineering,27.0,5,Female
59.0,130728.0,Sales,,4,Female
45.0,121176.0,Engineering,7.0,4,Male
,105945.0,HR,25.0,3,Female
32.0,34017.0,Engineering,,2,Male
64.0,,HR,8.0,2,Male
68.0,92956.0,Engineering,9.0,2,Female
61.0,123863.0,Engineering,,4,Male
69.0,,Sales,5.0,2,Male
20.0,,Engineering,,4,Female
54.0,73764.0,Sales,19.0,3,Male
,31134.0,Sales,21.0,1,Female
24.0,92943.0,Marketing,16.0,5,Female
38.0,125667.0,Marketing,24.0,3,Male
,84318.0,HR,,4,Female
56.0,133423.0,Engineering,21.0,3,Female
,133998.0,HR,4.0,5,Male
,90128.0,Engineering,8.0,1,Female
42.0,118056.0,Marketing,,5,Male
31.0,51869.0,Marketing,,4,Male
67.0,132468.0,Engineering,6.0,5,Female
26.0,147034.0,Engineering,5.0,3,Male
43.0,35039.0,Marketing,14.0,2,Female
19.0,51281.0,Marketing,21.0,3,Male
37.0,142935.0,HR,13.0,4,Female
45.0,,Marketing,10.0,1,Female
64.0,,Engineering,18.0,5,Male
24.0,149729.0,HR,29.0,1,Male
61.0,,Engineering,,4,Female
,,Sales,,5,Female
64.0,,HR,24.0,3,Male
52.0,113104.0,Engineering,,3,Female
31.0,116346.0,Marketing,,4,Female
34.0,,Sales,,5,Male
53.0,,Engineering,21.0,3,Male
,64397.0,HR,25.0,4,Female
57.0,,Engineering,26.0,4,Male
,146214.0,Sales,11.0,1,Male
,121785.0,HR,16.0,3,Female
23.0,96897.0,Sales,,5,Male
59.0,56149.0,Engineering,13.0,3,Male
21.0,90030.0,Marketing,,3,Female
46.0,,Marketing,16.0,3,Male
35.0,,Engineering,,4,Female
43.0,37610.0,Engineering,26.0,2,Male
61.0,73326.0,Engineering,21.0,2,Male
51.0,,HR,1.0,1,Female
27.0,143143.0,Sales,16.0,3,Male
53.0,140253.0,Sales,15.0,2,Male
31.0,106162.0,Sales,6.0,1,Male
48.0,130297.0,Engineering,12.0,4,Male
